Station,Time,Name,Epoch,Sample ID,Weight [g],Age,Age for Analysis [years]
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A1,0.348,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A2,0.325,23,23
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A3,0.272,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A4,0.29,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A5,0.275,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A6,0.179,6,6
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A7,0.203,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1A8,0.229,11,11
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B1,0.28,17,17
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B2,0.207,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B3,0.23,8,8
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B4,0.236,9,9
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B5,0.222,9,9
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B6,0.216,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B7,0.233,8,8
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1B8,0.474,33,33
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C1,0.203,8,8
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C2,0.327,23,23
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C3,0.266,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C4,0.327,21,21
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C5,0.235,17,17
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C6,0.217,14,14
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C7,0.312,21,21
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1C8,0.305,15,15
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D1,0.253,14,14
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D2,0.25,11,11
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D3,0.2,6,6
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D4,0.216,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D5,0.174,4,4
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D6,0.195,11,11
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D7,0.214,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1D8,0.232,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E1,0.202,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E2,0.175,9,9
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E3,0.17,5,5
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E4,0.293,17,17
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E5,0.309,14,14
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E6,0.238,14,14
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E7,0.341,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1E8,0.192,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F1,0.212,8,8
