"contrast","Age for Analysis [years]","estimate","SE","df","t.ratio","p.value"
"(Northland Tauranga Bay 13th - 14th Century) - Hauraki Gulf Otata Island 14th Century",12.6981981981982,0.267613361548483,0.0320345544888352,206,8.35389677860987,2.95763413760142e-13
"(Northland Tauranga Bay 13th - 14th Century) - Hauraki Gulf Long Bay 15th Century",12.6981981981982,0.197994841901673,0.0248355482513567,206,7.97223559946407,2.97717406283482e-12
"(Northland Tauranga Bay 13th - 14th Century) - Hauraki Gulf Otata Island 15th Century",12.6981981981982,0.254336076002739,0.031737419502168,206,8.01376041254284,2.30615526675138e-12
"(Northland Tauranga Bay 13th - 14th Century) - (Hauraki Gulf Otata Island 17th - 18th Century)",12.6981981981982,0.101659314347368,0.0451816701310006,206,2.25001231810634,0.326704377687684
"(Northland Tauranga Bay 13th - 14th Century) - Hauraki Gulf MPI collection 20th Century",12.6981981981982,0.158142413691044,0.0266279702769826,206,5.93895862305897,3.34676392266253e-07
"(Northland Tauranga Bay 13th - 14th Century) - Hauraki Gulf 21st Century",12.6981981981982,0.202671221281725,0.0248261443465897,206,8.16362051441811,9.21707155043805e-13
"(Northland Tauranga Bay 13th - 14th Century) - Northland Doubtless Bay 21st Century",12.6981981981982,0.179103482460895,0.0244521103785301,206,7.3246635847904,1.48642209651939e-10
"Hauraki Gulf Otata Island 14th Century - Hauraki Gulf Long Bay 15th Century",12.6981981981982,-0.0696185196468095,0.022521431719878,206,-3.09121198477637,0.0460659728803818
"Hauraki Gulf Otata Island 14th Century - Hauraki Gulf Otata Island 15th Century",12.6981981981982,-0.0132772855457439,0.0299612120319631,206,-0.443149146689375,0.999844469615294
"Hauraki Gulf Otata Island 14th Century - (Hauraki Gulf Otata Island 17th - 18th Century)",12.6981981981982,-0.165954047201114,0.0439521756639442,206,-3.77578685683251,0.00505622495611835
"Hauraki Gulf Otata Island 14th Century - Hauraki Gulf MPI collection 20th Century",12.6981981981982,-0.109470947857439,0.0244838565352669,206,-4.47114806851428,0.000338683343369173
"Hauraki Gulf Otata Island 14th Century - Hauraki Gulf 21st Century",12.6981981981982,-0.0649421402667579,0.0225110611230428,206,-2.88489911300902,0.0809928850141417
"Hauraki Gulf Otata Island 14th Century - Northland Doubtless Bay 21st Century",12.6981981981982,-0.0885098790875881,0.0220978761814678,206,-4.00535682075259,0.00217117730767569
"Hauraki Gulf Long Bay 15th Century - Hauraki Gulf Otata Island 15th Century",12.6981981981982,0.0563412341010656,0.022096741888151,206,2.5497530082151,0.180938679505559
"Hauraki Gulf Long Bay 15th Century - (Hauraki Gulf Otata Island 17th - 18th Century)",12.6981981981982,-0.0963355275543047,0.0390177590494575,206,-2.46901743978155,0.21478577745984
"Hauraki Gulf Long Bay 15th Century - Hauraki Gulf MPI collection 20th Century",12.6981981981982,-0.0398524282106296,0.0137858988276733,206,-2.89081101702497,0.0797505938482576
"Hauraki Gulf Long Bay 15th Century - Hauraki Gulf 21st Century",12.6981981981982,0.00467637938005158,0.00986608577566008,206,0.473985275050856,0.999756102936584
"Hauraki Gulf Long Bay 15th Century - Northland Doubtless Bay 21st Century",12.6981981981982,-0.0188913594407786,0.00888301229194208,206,-2.12668392431644,0.401372367896314
"Hauraki Gulf Otata Island 15th Century - (Hauraki Gulf Otata Island 17th - 18th Century)",12.6981981981982,-0.15267676165537,0.0437360819113081,206,-3.49086509315082,0.013457676379663
"Hauraki Gulf Otata Island 15th Century - Hauraki Gulf MPI collection 20th Century",12.6981981981982,-0.0961936623116952,0.0240937823140737,206,-3.99246830812058,0.00227962175536445
"Hauraki Gulf Otata Island 15th Century - Hauraki Gulf 21st Century",12.6981981981982,-0.051664854721014,0.0220861718784358,206,-2.33923991017465,0.277655639290781
"Hauraki Gulf Otata Island 15th Century - Northland Doubtless Bay 21st Century",12.6981981981982,-0.0752325935418442,0.0216648851160102,206,-3.47255908069634,0.0142913621762948
"(Hauraki Gulf Otata Island 17th - 18th Century) - Hauraki Gulf MPI collection 20th Century",12.6981981981982,0.0564830993436751,0.0401824571842978,206,1.40566563872921,0.853858987900672
"(Hauraki Gulf Otata Island 17th - 18th Century) - Hauraki Gulf 21st Century",12.6981981981982,0.101011906934356,0.0390117739588161,206,2.58926720535683,0.165837810720307
"(Hauraki Gulf Otata Island 17th - 18th Century) - Northland Doubtless Bay 21st Century",12.6981981981982,0.0774441681135262,0.0387748212924299,206,1.99727982056866,0.48624890165774
"Hauraki Gulf MPI collection 20th Century - Hauraki Gulf 21st Century",12.6981981981982,0.0445288075906812,0.0137689503107203,206,3.2340016185556,0.0302815746465531
"Hauraki Gulf MPI collection 20th Century - Northland Doubtless Bay 21st Century",12.6981981981982,0.0209610687698511,0.0130825170171951,206,1.6022198742261,0.74855482734937
"Hauraki Gulf 21st Century - Northland Doubtless Bay 21st Century",12.6981981981982,-0.0235677388208301,0.00885668637533451,206,-2.66101088172946,0.14081746565473
